frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
40,1.6,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.64,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.68,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.72,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.76,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.8,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1.84,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1.88,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1.92,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1.96,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2.0,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2.04,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2.08,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2.12,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2.16,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.2,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2.24,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2.28,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2.32,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2.36,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2.4,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2.44,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2.48,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2.52,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2.56,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2.6,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2.64,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2.68,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2.72,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2.76,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2.8,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2.84,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2.88,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2.92,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2.96,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,3.0,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,3.04,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,3.08,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,3.12,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,3.16,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,3.2,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,3.24,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,3.28,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,3.32,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,3.36,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,3.4,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,3.44,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,3.48,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,3.52,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,3.56,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,3.6,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,3.64,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,3.68,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,3.72,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,3.76,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,3.8,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,3.84,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,3.88,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,3.92,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,3.96,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4.0,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,4.04,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,4.08,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,4.12,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,4.16,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,4.2,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,4.24,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,4.28,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,4.32,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,4.36,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,4.4,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,4.44,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,4.48,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,4.52,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,4.56,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,4.6,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,4.64,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,4.68,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,4.72,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,4.76,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,4.8,0.0,0,0.5379999999999999,0.45399999999999996,-0.354,0.408,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
